City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kutum,SD,77.07,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
3,Kapaa,US,82.09,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Washougal,US,84.15,clear sky,45.5826,-122.3534,Camas Boutique Hotel
8,Ixtapa,MX,86.54,overcast clouds,20.7,-105.2,hotel la terminal
9,Padang,ID,77.18,moderate rain,-0.9492,100.3543,Mercure Padang
11,Axim,GH,75.15,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
12,Atuona,PF,77.34,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
13,San Patricio,US,77.85,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
16,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Hithadhoo,MV,81.61,overcast clouds,-0.6,73.0833,Scoop Guest House
19,Uthal,PK,79.86,scattered clouds,25.8072,66.6219,Al-Mustafa Hotel
20,Butaritari,KI,82.04,clear sky,3.0707,172.7902,Isles Sunset Lodge
25,Kavaratti,IN,80.76,moderate rain,10.5669,72.642,Green leaf
26,Charleston,US,89.33,scattered clouds,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
30,Erzin,TR,75.49,clear sky,36.9559,36.2,Artemis Otel
31,Hilo,US,84.27,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
34,Thompson,CA,78.96,scattered clouds,55.7435,-97.8558,Burntwood Hotel
44,Barnala,IN,79.65,clear sky,30.3833,75.55,STARiHOTEL Barnala
49,San Juan,AR,75.22,clear sky,-31.5375,-68.5364,Hotel Provincial
51,Medicine Hat,CA,85.84,smoke,50.0501,-110.6683,Ramada Limited Medicine Hat
69,Faanui,PF,78.6,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
70,Black River,JM,85.41,moderate rain,18.0264,-77.8487,Idlers' Rest Beach Hotel
72,Makakilo City,US,83.01,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
74,Camargo,MX,78.87,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
76,Koroni,GR,81.07,clear sky,36.8,21.95,Apartments Xenios Zeus 1
78,Sao Filipe,CV,80.46,light rain,14.8961,-24.4956,Hotel Xaguate
84,Ternate,ID,79.09,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
87,Sabang,ID,81.64,overcast clouds,5.8933,95.3214,Hotel Citra
88,Bonthe,SL,77.43,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
95,Keti Bandar,PK,81.43,overcast clouds,24.1447,67.4497,Haji laloo memon house
100,Ponta Do Sol,PT,76.01,broken clouds,32.6667,-17.1,Hotel do Campo
101,Ugoofaaru,MV,79.45,heavy intensity rain,5.6667,73.0,Ungoofaaru Inn
108,Trairi,BR,80.42,broken clouds,-3.2778,-39.2689,janelas do mar
109,Dickinson,US,83.16,overcast clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
114,Huilong,CN,76.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
127,Maicao,CO,88.34,overcast clouds,11.3832,-72.2432,Hotel Sancho
129,Eyl,SO,76.71,few clouds,7.9803,49.8164,Amiin Hotel
130,Hope,US,89.98,clear sky,33.6671,-93.5916,Best Western Hope
131,Georgetown,MY,80.89,light rain,5.4112,100.3354,Cititel Penang
132,Isangel,VU,76.84,light rain,-19.55,169.2667,Tanna Lodge
135,Oranjestad,AW,89.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
136,Noumea,NC,75.99,light rain,-22.2763,166.4572,Hôtel Le Lagon
143,Camocim,BR,84.63,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
144,Rio Tuba,PH,80.46,overcast clouds,8.5061,117.4317,Myra Lodge
145,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
146,Machiques,VE,87.67,overcast clouds,10.0644,-72.545,hotel el markes
147,Kushalgarh,IN,76.06,broken clouds,23.199,74.4507,Hotel Janvi
149,Manta,EC,85.78,clear sky,-0.95,-80.7333,Balandra Hotel
151,Touros,BR,76.87,few clouds,-5.1989,-35.4608,INN NEW HORIZON
155,Sao Jose Da Coroa Grande,BR,75.43,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
158,Khambhaliya,IN,81.3,overcast clouds,22.2072,69.6683,"Kalyan's Hotel, Banquet & Restaurant."
162,Guerrero Negro,MX,86.32,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
163,Santa Isabel Do Rio Negro,BR,83.05,broken clouds,-0.4139,-65.0192,Hotel GSA
165,Iralaya,HN,83.88,overcast clouds,15.0,-83.2333,Iglesia morava renovada
166,Hamilton,US,83.52,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
167,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
171,Ormara,PK,79.99,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
172,Fare,PF,78.69,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
177,Altamont,US,85.78,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
184,Carbonia,IT,82.0,clear sky,39.1672,8.5222,Lu 'Hotel
185,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
186,Zhezkazgan,KZ,78.15,clear sky,47.8043,67.7144,Hotel Zumrat
188,Nouakchott,MR,89.53,scattered clouds,18.0858,-15.9785,HOTEL IMAN
190,Safford,US,89.11,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
191,Nouadhibou,MR,84.18,few clouds,20.931,-17.0347,El Medina
193,Lorengau,PG,81.45,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
197,Altoona,US,86.83,overcast clouds,40.5187,-78.3947,Cedar Grove Motel
198,Nago,JP,79.23,moderate rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
200,Bata,GQ,76.42,few clouds,1.8639,9.7658,Hotel Elik Melen
202,Hirara,JP,82.27,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
203,Bud,US,83.05,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
208,Bafq,IR,81.45,clear sky,31.6128,55.4107,Alamdar Hotel
213,Portland,US,83.61,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
216,Acapulco,MX,78.78,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
221,Wenzhou,CN,79.43,moderate rain,27.9994,120.6668,温州喜来登酒店
222,Neepawa,CA,79.2,clear sky,50.2289,-99.4664,"Westway Inn Motel, Neepawa"
224,Dingle,PH,76.15,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
230,San Cristobal,VE,82.6,overcast clouds,7.7669,-72.225,Pirineos
237,Puerto Escondido,MX,80.74,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
240,Warwick,US,85.3,overcast clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
242,Saint Anthony,US,77.25,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
245,Hambantota,LK,78.4,overcast clouds,6.1241,81.1185,Bungalow 63
246,Tukrah,LY,79.88,clear sky,32.5341,20.5791,Lagrota restaurant
248,Fort Oglethorpe,US,75.2,overcast clouds,34.949,-85.2569,Super 8 by Wyndham Ft. Oglethorpe GA/Chatt TN Area
252,Balrampur,IN,81.25,broken clouds,27.4333,82.1833,Hotel Avadh
256,Praya,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
259,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
262,Avola,IT,80.89,clear sky,36.9113,15.1395,B & B Nonna Nina
264,Victoria,HK,86.38,scattered clouds,22.2855,114.1577,Mini Central
265,Panipat,IN,81.68,clear sky,29.3889,76.9681,SPOT ON 68644 Shri Shyam Guest House
266,Port Blair,IN,81.54,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
267,Jalu,LY,83.52,clear sky,29.0331,21.5482,صاحبة الفخامة
268,Buenaventura,CO,79.75,overcast clouds,3.8801,-77.0312,Hotel Victoria
271,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
273,Kirakira,SB,79.5,few clouds,-10.4544,161.9205,SanBiz Lodge
280,Lahaina,US,84.81,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
284,Wajid,SO,75.9,clear sky,3.8093,43.2471,xamdihotelresturant114
285,Puerto Penasco,MX,89.91,overcast clouds,31.3167,-113.5333,Playa Bonita Resort
289,La Ronge,CA,85.03,clear sky,55.1001,-105.2842,Northland Motor Hotel
296,Cockburn Town,TC,84.06,clear sky,21.4612,-71.1419,Osprey Beach Hotel
300,Labuhan,ID,77.83,overcast clouds,-6.8844,112.2051,DoubleFAG
302,Kahului,US,84.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
303,Sharjah,AE,88.32,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
304,Roma,US,82.51,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
308,Iracoubo,GF,82.99,moderate rain,5.4802,-53.2011,Le Gîte d’Iracoubo
309,Praia,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
310,Bengkulu,ID,75.4,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
311,Melgar,CO,89.91,broken clouds,4.2048,-74.6407,Hotel Manantial
315,Brazzaville,CG,84.6,light rain,-4.2658,15.2832,Hotel Muesse
321,Cururupu,BR,82.85,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
322,Pullman,US,83.23,clear sky,46.7313,-117.1796,"Holiday Inn Express & Suites Pullman, an IHG Hotel"
323,Vite,IN,75.7,moderate rain,17.2833,74.55,Hotel Dreamland
328,Kavieng,PG,81.52,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
330,Daru,PG,77.18,broken clouds,-9.0763,143.2092,Daru Lodge
