City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khatanga,RU,71.9667,102.5,42.42,76,100,5.21,overcast clouds
1,Kutum,SD,14.2,24.6667,77.07,54,88,1.54,overcast clouds
2,New Norfolk,AU,-42.7826,147.0587,46.92,77,100,2.48,overcast clouds
3,Kapaa,US,22.0752,-159.319,82.09,76,75,14.97,broken clouds
4,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,73,75,11.5,broken clouds
5,Yellowknife,CA,62.456,-114.3525,66.72,72,100,15.01,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,71.67,66,90,21.34,light rain
7,Washougal,US,45.5826,-122.3534,84.15,50,3,5.01,clear sky
8,Ixtapa,MX,20.7,-105.2,86.54,77,100,5.44,overcast clouds
9,Padang,ID,-0.9492,100.3543,77.18,81,100,2.35,moderate rain
10,Yar-Sale,RU,66.8333,70.8333,44.1,95,100,14.67,light rain
11,Axim,GH,4.8699,-2.2405,75.15,91,5,6.08,clear sky
12,Atuona,PF,-9.8,-139.0333,77.34,63,49,18.41,scattered clouds
13,San Patricio,US,28.017,-97.5169,77.85,89,100,8.7,overcast clouds
14,Jamestown,US,42.097,-79.2353,74.84,80,40,1.01,scattered clouds
15,Hobart,AU,-42.8794,147.3294,47.26,89,100,6.91,overcast clouds
16,Puerto Ayora,EC,-0.7393,-90.3518,76.96,87,94,7.0,overcast clouds
17,Hithadhoo,MV,-0.6,73.0833,81.61,70,100,19.01,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,41.49,92,100,8.25,overcast clouds
19,Uthal,PK,25.8072,66.6219,79.86,84,41,7.27,scattered clouds
20,Butaritari,KI,3.0707,172.7902,82.04,76,3,16.46,clear sky
21,Punta Arenas,CL,-53.15,-70.9167,39.31,93,100,12.66,moderate rain
22,Hualmay,PE,-11.0964,-77.6139,65.7,69,17,7.18,few clouds
23,Bluff,NZ,-46.6,168.3333,41.81,70,79,22.24,broken clouds
24,Lithgow,AU,-33.4833,150.15,32.49,96,3,1.72,clear sky
25,Kavaratti,IN,10.5669,72.642,80.76,82,33,24.05,moderate rain
26,Charleston,US,32.7766,-79.9309,89.33,73,40,10.36,scattered clouds
27,Vila,PT,42.0304,-8.1588,56.28,90,87,5.68,overcast clouds
28,Kaitangata,NZ,-46.2817,169.8464,36.5,85,81,15.3,broken clouds
29,Hami,CN,42.8,93.45,74.41,18,0,5.44,clear sky
30,Erzin,TR,36.9559,36.2,75.49,76,0,0.87,clear sky
31,Hilo,US,19.7297,-155.09,84.27,81,21,4.0,few clouds
32,Cabo San Lucas,MX,22.8909,-109.9124,94.6,73,100,6.31,overcast clouds
