City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bethel,41.3712,-73.414,77.36,80,0,7.02,US,2022-08-30 01:33:06
1,Nanortalik,60.1432,-45.2371,39.74,89,100,6.71,GL,2022-08-30 01:33:07
2,Kavaratti,10.5669,72.642,80.46,80,100,18.54,IN,2022-08-30 01:33:07
3,Qaqortoq,60.7167,-46.0333,39.65,88,97,4.74,GL,2022-08-30 01:33:08
4,Oppdal,62.5943,9.6912,40.01,92,81,1.86,NO,2022-08-30 01:33:08
5,Ambon,-3.6954,128.1814,82.54,83,75,3.44,ID,2022-08-30 01:33:09
6,Qaanaaq,77.484,-69.3632,26.1,66,0,4.18,GL,2022-08-30 01:33:09
7,Bambous Virieux,-20.3428,57.7575,66.45,88,40,3.44,MU,2022-08-30 01:33:09
8,Ushuaia,-54.8,-68.3,40.66,87,75,4.61,AR,2022-08-30 01:33:10
9,Rikitea,-23.1203,-134.9692,73.63,83,9,13.4,PF,2022-08-30 01:33:10
10,Akureyri,65.6835,-18.0878,58.93,67,0,16.11,IS,2022-08-30 01:33:11
11,Busselton,-33.65,115.3333,56.61,63,8,4.72,AU,2022-08-30 01:33:11
12,Nioro,13.35,-15.75,74.39,95,100,13.58,GM,2022-08-30 01:33:11
13,Asfi,32.2994,-9.2372,71.73,80,99,13.69,MA,2022-08-30 01:33:12
14,Yellowknife,62.456,-114.3525,61.32,59,75,6.91,CA,2022-08-30 01:33:12
15,Atuona,-9.8,-139.0333,76.91,74,3,21.05,PF,2022-08-30 01:33:13
16,Mataura,-46.1927,168.8643,57.47,50,19,4.52,NZ,2022-08-30 01:33:13
17,Upernavik,72.7868,-56.1549,35.83,87,100,15.14,GL,2022-08-30 01:33:13
18,Sitka,57.0531,-135.33,60.69,72,100,9.22,US,2022-08-30 01:33:14
19,Kawalu,-7.3817,108.2082,77.04,75,100,3.6,ID,2022-08-30 01:33:14
20,Juba,4.8517,31.5825,68.45,91,43,3.69,SS,2022-08-30 01:30:09
21,Khandbari,27.3747,87.2039,74.77,90,94,0.81,NP,2022-08-30 01:33:15
22,Kysyl-Syr,63.8986,122.7617,55.76,53,38,7.81,RU,2022-08-30 01:33:15
23,Tuktoyaktuk,69.4541,-133.0374,44.6,100,100,0.0,CA,2022-08-30 01:33:16
24,Avarua,-21.2078,-159.775,78.85,78,71,9.22,CK,2022-08-30 01:33:16
25,Talnakh,69.4865,88.3972,42.21,90,90,5.82,RU,2022-08-30 01:33:17
26,Praia Da Vitoria,38.7333,-27.0667,74.75,94,75,1.43,PT,2022-08-30 01:33:17
27,Leningradskiy,69.3833,178.4167,36.0,90,100,6.62,RU,2022-08-30 01:33:17
28,Bandarbeyla,9.4942,50.8122,75.47,82,15,21.5,SO,2022-08-30 01:33:18
29,Riyadh,24.6877,46.7219,80.74,16,0,6.69,SA,2022-08-30 01:29:08
30,Isangel,-19.55,169.2667,75.74,65,62,15.79,VU,2022-08-30 01:33:18
31,Provideniya,64.3833,-173.3,48.36,100,100,13.42,RU,2022-08-30 01:33:18
32,Touros,-5.1989,-35.4608,75.67,80,43,16.17,BR,2022-08-30 01:33:19
33,Akividu,16.6,81.3833,82.17,79,21,6.24,IN,2022-08-30 01:33:19
34,Hamilton,39.1834,-84.5333,75.15,90,40,13.8,US,2022-08-30 01:29:40
35,Souillac,-20.5167,57.5167,66.58,88,40,3.44,MU,2022-08-30 01:33:20
36,Albany,42.6001,-73.9662,82.81,66,0,6.78,US,2022-08-30 01:31:44
37,Turtas,58.9417,69.1325,60.03,80,44,5.32,RU,2022-08-30 01:33:20
38,Castro,-24.7911,-50.0119,41.05,88,100,8.84,BR,2022-08-30 01:33:21
39,Katsuura,35.1333,140.3,77.38,84,100,11.36,JP,2022-08-30 01:33:21
40,Punta Arenas,-53.15,-70.9167,42.91,81,75,4.61,CL,2022-08-30 01:33:22
41,Victoria,22.2855,114.1577,87.94,82,4,1.99,HK,2022-08-30 01:30:01
42,Yerbogachen,61.2767,108.0108,34.16,98,100,24.47,RU,2022-08-30 01:33:22
43,Abha,18.2164,42.5053,62.42,25,0,0.0,SA,2022-08-30 01:33:23
44,Benjamin Constant,-4.3831,-70.0311,75.33,98,20,2.13,BR,2022-08-30 01:33:23
45,Hailey,43.5196,-114.3153,82.8,43,0,9.22,US,2022-08-30 01:33:23
